
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,0,0,0,0,0,0,0,0,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,6,0,0,0,0,6,0,0,0,15,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
4,35,0,0,9,0,0,2,0,0,70,0,3,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,3,0,0,0,0,0,0,0,0,46,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
1,0,0,0,0,0,0,0,0,23,12,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
0,0,0,4,0,0,0,0,0,7,4,0,0,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
6,28,1,28,3,0,0,0,0,0,76,0,3,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
7,35,0,25,5,0,0,1,0,0,42,0,1,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
14,16,0,23,3,0,0,1,0,0,28,0,1,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
4,22,1,30,6,0,0,0,0,0,88,0,4,
HIGH_HIT, LOW_HIT, COUNTER_HIT, PUNISH, KNOCKDOWN, SPECIAL_ENDER, ANTI_AIR, MEATY, THROW, BLOCK, WHIFF, REVERSAL, PROJECTILE_HIT, 
6,12,0,22,5,0,0,0,1,0,33,0,5,
